location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
Myanmar (Burma),Shan,1995,174,174,332,Myanmar (Burma),Asia
Myanmar (Burma),Shan,1996,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Shan,1997,152,152,157,Myanmar (Burma),Asia
Myanmar (Burma),Shan,1998,25,4,25,Myanmar (Burma),Asia
Myanmar (Burma),Shan,1999,25,25,25,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2000,69,69,69,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2001,117,117,117,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Shan,2002,184,183,250,"Thailand, Myanmar (Burma)",Asia
Myanmar (Burma),Shan,2005,27,27,28,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2006,48,38,49,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2007,29,29,29,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2008,31,31,31,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2009,52,52,60,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2010,36,36,36,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2011,170,169,172,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2013,83,80,85,Myanmar (Burma),Asia
Myanmar (Burma),Shan,2015,77,77,308,Myanmar (Burma),Asia
DR Congo (Zaire),Katanga,2020,54,41,77,DR Congo (Zaire),Africa
DR Congo (Zaire),Katanga,2013,94,90,115,DR Congo (Zaire),Africa
DR Congo (Zaire),Katanga,2014,60,30,60,DR Congo (Zaire),Africa
Ethiopia,,2020,1596,1493,3665,Ethiopia,Africa
Ethiopia,,1989,18403,18403,18420,Ethiopia,Africa
Ethiopia,,2021,8789,8258,42218,Ethiopia,Africa
Ethiopia,,2022,100321,100217,101861,"Eritrea, Ethiopia, Sudan",Africa
Ethiopia,,1991,4518,4518,5568,Ethiopia,Africa
Ethiopia,,1990,18985,18985,18985,Ethiopia,Africa
Nepal,,1996,44,44,46,Nepal,Asia
Nepal,,1997,40,40,40,Nepal,Asia
Nepal,,1998,250,118,302,Nepal,Asia
Nepal,,1999,156,147,306,Nepal,Asia
Nepal,,2000,268,259,295,Nepal,Asia
Nepal,,2001,429,380,479,Nepal,Asia
Nepal,,2002,3946,2773,4105,Nepal,Asia
Nepal,,2003,1341,1275,1405,Nepal,Asia
Nepal,,2004,1880,1848,2040,Nepal,Asia
Nepal,,2005,1104,1100,1169,Nepal,Asia
Nepal,,2006,457,452,477,Nepal,Asia
Iraq,Kurdistan,1989,50,50,50,Iraq,Middle East
Iraq,Kurdistan,1990,94,94,94,Iraq,Middle East
Iraq,Kurdistan,1991,1247,1247,2603,Iraq,Middle East
Iraq,Kurdistan,1992,26,26,52,Iraq,Middle East
Iraq,Kurdistan,1995,262,262,302,Iraq,Middle East
Iraq,Kurdistan,1996,356,356,366,"Iraq, Iran",Middle East
"Iran, Israel",,2018,111,111,127,Syria,Middle East
"Iran, Israel",,2019,138,113,153,Syria,Middle East
"Iran, Israel",,2020,461,398,473,"Syria, Iraq, Yemen (North Yemen), Iran",Middle East
"Iran, Israel",,2021,162,157,172,Syria,Middle East
"Iran, Israel",,2022,55,55,85,"Syria, Yemen (North Yemen)",Middle East
"India, China","Arunachal Pradesh, Aksai Chin",2020,25,25,25,India,Asia
Ethiopia,Eritrea,1989,5930,5930,5930,Ethiopia,Africa
Ethiopia,Eritrea,1990,30633,30633,30633,Ethiopia,Africa
Ethiopia,Eritrea,1991,6907,6904,6907,Ethiopia,Africa
Russia (Soviet Union),Islamic State,2016,69,64,85,Russia (Soviet Union),Europe
Russia (Soviet Union),Islamic State,2017,53,53,76,Russia (Soviet Union),Europe
Russia (Soviet Union),Islamic State,2018,30,30,30,Russia (Soviet Union),Europe
Russia (Soviet Union),Islamic State,2019,26,26,27,Russia (Soviet Union),Europe
Russia (Soviet Union),Islamic State,2020,30,24,31,Russia (Soviet Union),Europe
Russia (Soviet Union),Islamic State,2015,55,55,57,Russia (Soviet Union),Europe
Venezuela,,1992,144,144,263,Venezuela,Americas
DR Congo (Zaire),,1996,1288,1148,1836,DR Congo (Zaire),Africa
DR Congo (Zaire),,1997,4465,4046,4834,DR Congo (Zaire),Africa
DR Congo (Zaire),,1998,3268,3022,5711,DR Congo (Zaire),Africa
DR Congo (Zaire),,1999,2953,2598,3229,DR Congo (Zaire),Africa
DR Congo (Zaire),,2000,1294,1260,2458,DR Congo (Zaire),Africa
DR Congo (Zaire),,2001,454,454,734,DR Congo (Zaire),Africa
DR Congo (Zaire),,2005,34,34,34,DR Congo (Zaire),Africa
DR Congo (Zaire),,2006,182,54,362,"DR Congo (Zaire), Uganda",Africa
DR Congo (Zaire),,2007,516,516,553,DR Congo (Zaire),Africa
DR Congo (Zaire),,2008,486,486,486,DR Congo (Zaire),Africa
DR Congo (Zaire),,2011,41,41,41,DR Congo (Zaire),Africa
DR Congo (Zaire),,2012,734,678,851,"Rwanda, DR Congo (Zaire)",Africa
DR Congo (Zaire),,2013,1380,1360,1390,"Rwanda, DR Congo (Zaire)",Africa
DR Congo (Zaire),,2014,86,63,106,DR Congo (Zaire),Africa
DR Congo (Zaire),,2016,506,308,1822,DR Congo (Zaire),Africa
DR Congo (Zaire),,2017,3309,3067,4265,DR Congo (Zaire),Africa
DR Congo (Zaire),,2018,439,439,453,DR Congo (Zaire),Africa
DR Congo (Zaire),,2019,177,177,179,DR Congo (Zaire),Africa
DR Congo (Zaire),,2020,223,213,246,DR Congo (Zaire),Africa
DR Congo (Zaire),,2021,396,384,420,DR Congo (Zaire),Africa
DR Congo (Zaire),,2022,543,535,582,"Rwanda, DR Congo (Zaire)",Africa
Burundi,,1991,272,272,551,Burundi,Africa
Burundi,,1992,61,61,61,Burundi,Africa
Burundi,,1994,56,56,532,Burundi,Africa
Burundi,,1995,254,235,526,Burundi,Africa
Burundi,,1996,531,496,962,Burundi,Africa
Burundi,,1997,639,539,1216,Burundi,Africa
Burundi,,1998,621,621,740,Burundi,Africa
Burundi,,1999,524,321,679,Burundi,Africa
Burundi,,2000,1347,1226,2122,Burundi,Africa
Burundi,,2001,1182,1169,2488,Burundi,Africa
Burundi,,2002,1127,795,1604,"Burundi, DR Congo (Zaire)",Africa
Burundi,,2003,985,985,1154,Burundi,Africa
Burundi,,2004,387,367,425,Burundi,Africa
Burundi,,2005,286,286,356,Burundi,Africa
Burundi,,2006,141,141,141,Burundi,Africa
Burundi,,2008,201,201,205,Burundi,Africa
Burundi,,2014,56,56,56,Burundi,Africa
Burundi,,2015,185,185,188,Burundi,Africa
Burundi,,2019,61,60,96,"Burundi, DR Congo (Zaire)",Africa
Burundi,,2020,139,135,201,"Burundi, DR Congo (Zaire)",Africa
Burundi,,2021,26,26,29,"Burundi, DR Congo (Zaire)",Africa
Burundi,,2022,234,226,260,DR Congo (Zaire),Africa
Chad,,1989,315,315,1585,"Chad, Sudan",Africa
Chad,,1990,1352,1352,8932,"Chad, Sudan",Africa
Chad,,1991,68,68,68,Chad,Africa
Chad,,1992,899,899,1553,Chad,Africa
Chad,,1993,120,120,120,Chad,Africa
Chad,,1994,156,156,260,Chad,Africa
Chad,,1997,97,97,97,Chad,Africa
Chad,,1998,34,34,34,Chad,Africa
Chad,,1999,394,394,1149,Chad,Africa
Chad,,2000,989,989,1041,Chad,Africa
Chad,,2001,226,226,326,Chad,Africa
Chad,,2002,294,294,350,Chad,Africa
Chad,,2003,37,37,189,Chad,Africa
Chad,,2005,100,100,356,Chad,Africa
Chad,,2006,1250,1250,2623,Chad,Africa
Chad,,2007,69,69,380,Chad,Africa
Chad,,2008,991,991,1361,Chad,Africa
Chad,,2009,131,131,324,Chad,Africa
Chad,,2010,42,42,83,"Chad, Sudan",Africa
Chad,,2018,42,42,89,Chad,Africa
Chad,,2020,53,6,53,Chad,Africa
Chad,,2021,431,431,631,Chad,Africa
Mali,Islamic State,2017,47,47,47,Mali,Africa
Mali,Islamic State,2018,119,114,155,Mali,Africa
Mali,Islamic State,2019,181,174,195,Mali,Africa
Mali,Islamic State,2020,63,58,106,Mali,Africa
Mali,Islamic State,2021,110,110,129,Mali,Africa
Mali,Islamic State,2022,323,323,436,Mali,Africa
Colombia,,1989,238,237,944,Colombia,Americas
Colombia,,1990,501,501,568,Colombia,Americas
Colombia,,1991,725,725,754,Colombia,Americas
Colombia,,1992,1479,1479,1503,Colombia,Americas
Colombia,,1993,182,182,192,Colombia,Americas
Colombia,,1994,1123,1123,1334,Colombia,Americas
Colombia,,1995,823,823,828,Colombia,Americas
Colombia,,1996,1192,1185,1229,Colombia,Americas
Colombia,,1997,560,560,676,Colombia,Americas
Colombia,,1998,939,938,1384,Colombia,Americas
Colombia,,1999,1374,1353,1663,Colombia,Americas
Colombia,,2000,1870,1856,2189,Colombia,Americas
Colombia,,2001,1864,1859,1983,Colombia,Americas
Colombia,,2002,3379,3320,3914,Colombia,Americas
Colombia,,2003,1597,1572,1620,Colombia,Americas
Colombia,,2004,1234,1210,1286,Colombia,Americas
Colombia,,2005,1389,1389,1455,Colombia,Americas
Colombia,,2006,502,502,514,Colombia,Americas
Colombia,,2007,316,316,323,"Colombia, Venezuela",Americas
Colombia,,2008,244,240,253,"Colombia, Ecuador",Americas
Colombia,,2009,377,377,421,Colombia,Americas
Colombia,,2010,419,419,425,Colombia,Americas
Colombia,,2011,202,202,208,Colombia,Americas
Colombia,,2012,211,211,310,Colombia,Americas
Colombia,,2013,140,140,183,Colombia,Americas
Colombia,,2014,119,119,119,Colombia,Americas
Colombia,,2015,134,134,140,Colombia,Americas
Colombia,,2016,30,30,30,Colombia,Americas
Colombia,,2018,131,131,131,Colombia,Americas
Colombia,,2019,115,115,119,"Colombia, Ecuador",Americas
Colombia,,2020,28,28,28,"Colombia, Peru",Americas
Colombia,,2021,113,113,123,Colombia,Americas
Colombia,,2022,73,73,73,Colombia,Americas
Indonesia,West Papua,2018,25,24,41,Indonesia,Asia
Indonesia,West Papua,2021,51,24,59,Indonesia,Asia
Indonesia,West Papua,2022,46,38,47,Indonesia,Asia
Syria,Islamic State,2016,10903,10655,11250,Syria,Middle East
Syria,Islamic State,2017,11920,11667,13077,Syria,Middle East
Syria,Islamic State,2018,4347,4340,4461,Syria,Middle East
Syria,Islamic State,2019,523,522,636,Syria,Middle East
Syria,Islamic State,2020,1076,771,1377,Syria,Middle East
Syria,Islamic State,2021,680,680,774,Syria,Middle East
Syria,Islamic State,2022,347,347,399,Syria,Middle East
Syria,Islamic State,2013,1422,1414,1642,Syria,Middle East
Syria,Islamic State,2014,7336,6977,8114,Syria,Middle East
Syria,Islamic State,2015,10382,9976,10713,Syria,Middle East
Peru,,1989,1827,1810,1838,Peru,Americas
Peru,,1990,1099,1099,1099,Peru,Americas
Peru,,1991,1138,1138,1139,Peru,Americas
Peru,,1992,1036,1036,1038,Peru,Americas
Peru,,1993,672,672,677,Peru,Americas
Peru,,1994,253,253,253,Peru,Americas
Peru,,1995,178,178,178,Peru,Americas
Peru,,1996,80,80,80,Peru,Americas
Peru,,1997,93,93,99,Peru,Americas
Peru,,1998,25,25,25,Peru,Americas
Peru,,1999,75,75,75,Peru,Americas
Peru,,2007,32,32,32,Peru,Americas
Peru,,2008,40,40,40,Peru,Americas
Peru,,2009,50,50,80,Peru,Americas
Peru,,2010,28,28,28,Peru,Americas
"Cambodia (Kampuchea), Thailand",Common Border,2011,29,29,36,"Cambodia (Kampuchea), Thailand",Asia
Nigeria,,2016,164,164,180,Nigeria,Africa
Nigeria,,2017,1062,1061,1114,Nigeria,Africa
Nigeria,,2018,335,322,455,Nigeria,Africa
Nigeria,,2019,328,320,384,"Nigeria, Niger",Africa
Nigeria,,2020,465,406,527,"Nigeria, Niger",Africa
Nigeria,,2021,276,269,306,"Nigeria, Niger",Africa
Nigeria,,2022,428,179,582,"Nigeria, Niger",Africa
Nigeria,,2009,405,402,835,Nigeria,Africa
Nigeria,,2011,325,267,547,Nigeria,Africa
Nigeria,,2012,811,811,1155,Nigeria,Africa
Nigeria,,2013,1629,1474,2081,Nigeria,Africa
Nigeria,,2014,4780,4725,5208,"Nigeria, Cameroon",Africa
Nigeria,,2015,2703,2703,3025,"Nigeria, Chad, Niger",Africa
South Africa,Namibia,1989,327,327,329,South Africa,Africa
Mali,Macina Empire,2015,44,44,59,Mali,Africa
Syria,,2016,32595,31454,33741,Syria,Middle East
Syria,,2017,12203,11630,12909,"Syria, Lebanon",Middle East
Syria,,2018,8690,8247,9167,Syria,Middle East
Syria,,2019,6856,6709,7176,Syria,Middle East
Syria,,2020,3513,3435,3718,"Syria, Russia (Soviet Union)",Middle East
Syria,,2021,674,662,783,Syria,Middle East
Syria,,2022,530,527,672,Syria,Middle East
Syria,,2011,1203,1121,1451,Syria,Middle East
Syria,,2012,50440,48722,55487,"Syria, Turkey",Middle East
Syria,,2013,70506,67136,75023,"Lebanon, Iraq, Syria",Middle East
Syria,,2014,57945,56580,60210,"Syria, Lebanon",Middle East
Syria,,2015,39708,38321,41199,"Jordan, Syria",Middle East
Cambodia (Kampuchea),,1989,818,818,2438,"Cambodia (Kampuchea), Thailand",Asia
Cambodia (Kampuchea),,1990,274,268,657,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1991,220,220,451,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1992,118,118,118,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1993,274,274,393,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1994,464,404,1126,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1995,694,684,1105,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1996,788,788,1007,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1997,415,415,649,Cambodia (Kampuchea),Asia
Cambodia (Kampuchea),,1998,246,246,385,"Cambodia (Kampuchea), Thailand",Asia
Nigeria,Biafra,2021,129,76,216,Nigeria,Africa
Nigeria,Biafra,2022,88,42,168,Nigeria,Africa
Cameroon,Ambazonia,2017,35,35,44,Cameroon,Africa
Cameroon,Ambazonia,2018,751,747,1007,"Nigeria, Cameroon",Africa
Cameroon,Ambazonia,2019,558,557,645,Cameroon,Africa
Cameroon,Ambazonia,2020,401,377,457,Cameroon,Africa
Cameroon,Ambazonia,2021,519,510,644,Cameroon,Africa
Cameroon,Ambazonia,2022,375,317,437,Cameroon,Africa
Guinea,,2000,217,182,522,Guinea,Africa
Guinea,,2001,432,432,778,"Guinea, Liberia, Sierra Leone",Africa
Philippines,Mindanao,1989,115,115,115,Philippines,Asia
Philippines,Mindanao,1990,141,141,141,Philippines,Asia
Philippines,Mindanao,1993,154,154,178,Philippines,Asia
Philippines,Mindanao,1994,196,196,213,Philippines,Asia
Philippines,Mindanao,1995,116,116,122,Philippines,Asia
Philippines,Mindanao,1996,180,180,184,Philippines,Asia
Philippines,Mindanao,1997,270,230,348,Philippines,Asia
Philippines,Mindanao,1998,93,93,93,Philippines,Asia
Philippines,Mindanao,1999,106,73,135,Philippines,Asia
Philippines,Mindanao,2000,1427,1405,1559,Philippines,Asia
Philippines,Mindanao,2001,675,578,737,Philippines,Asia
Philippines,Mindanao,2002,382,382,416,Philippines,Asia
Philippines,Mindanao,2003,820,695,1036,Philippines,Asia
Philippines,Mindanao,2004,69,66,99,Philippines,Asia
Philippines,Mindanao,2005,236,233,287,Philippines,Asia
Philippines,Mindanao,2006,50,50,116,Philippines,Asia
Philippines,Mindanao,2007,307,307,326,Philippines,Asia
Philippines,Mindanao,2008,297,297,546,Philippines,Asia
Philippines,Mindanao,2009,517,501,548,Philippines,Asia
Philippines,Mindanao,2010,74,74,85,Philippines,Asia
Philippines,Mindanao,2011,146,146,171,Philippines,Asia
Philippines,Mindanao,2012,113,107,138,Philippines,Asia
Philippines,Mindanao,2013,349,349,414,Philippines,Asia
Philippines,Mindanao,2014,280,276,288,Philippines,Asia
Philippines,Mindanao,2015,404,394,565,Philippines,Asia
Philippines,Mindanao,2016,303,274,349,Philippines,Asia
Philippines,Mindanao,2017,84,84,90,"Philippines, Malaysia",Asia
Philippines,Mindanao,2018,83,83,83,Philippines,Asia
Philippines,Mindanao,2019,35,35,35,Philippines,Asia
Philippines,Mindanao,2020,108,108,109,Philippines,Asia
Sudan,,1989,4253,4253,5253,"Uganda, Sudan",Africa
Sudan,,1990,4335,4335,4335,"Uganda, Sudan",Africa
Sudan,,1991,1317,1317,4317,"Uganda, Sudan",Africa
Sudan,,1992,1083,1083,4083,Sudan,Africa
Sudan,,1993,942,942,942,Sudan,Africa
Sudan,,1994,337,337,337,Sudan,Africa
Sudan,,1995,1000,1000,1882,Sudan,Africa
Sudan,,1996,2289,2289,2291,Sudan,Africa
Sudan,,1997,3709,3709,7228,Sudan,Africa
Sudan,,1998,4891,4891,5572,Sudan,Africa
Sudan,,1999,1408,1408,1597,Sudan,Africa
Sudan,,2000,2841,2841,3610,Sudan,Africa
Sudan,,2001,3408,3408,3658,Sudan,Africa
Sudan,,2002,2021,2021,3024,Sudan,Africa
Sudan,,2003,1999,1899,2856,Sudan,Africa
Sudan,,2004,3278,3278,4588,Sudan,Africa
Sudan,,2005,161,161,191,Sudan,Africa
Sudan,,2006,1002,1002,2719,Sudan,Africa
Sudan,,2007,217,201,222,Sudan,Africa
Sudan,,2008,598,598,1476,Sudan,Africa
Sudan,,2009,353,353,370,"Chad, Sudan",Africa
Sudan,,2010,1010,1010,1888,Sudan,Africa
Sudan,,2011,1259,1235,2077,"Ethiopia, Sudan",Africa
Sudan,,2012,1173,1123,1803,Sudan,Africa
Sudan,,2013,594,528,3784,Sudan,Africa
Sudan,,2014,856,815,3386,"South Sudan, Sudan",Africa
Sudan,,2015,1264,1264,2379,"South Sudan, Sudan",Africa
Sudan,,2016,1309,1303,2321,Sudan,Africa
Sudan,,2017,160,148,360,Sudan,Africa
Sudan,,2018,243,191,500,Sudan,Africa
Sudan,,2020,45,45,48,Sudan,Africa
Sudan,,2021,31,31,72,Sudan,Africa
Sudan,,2022,47,47,47,Sudan,Africa
Sri Lanka,,1989,388,388,517,Sri Lanka,Asia
Sri Lanka,,1990,61,61,61,Sri Lanka,Asia
Uganda,,1989,1019,1019,1040,Uganda,Africa
Uganda,,1990,621,621,633,Uganda,Africa
Uganda,,1991,853,853,853,Uganda,Africa
Uganda,,1992,72,72,72,Uganda,Africa
Uganda,,1994,149,149,226,Uganda,Africa
Uganda,,1995,295,295,332,"Uganda, Sudan",Africa
Uganda,,1996,1238,1238,1584,"DR Congo (Zaire), Uganda",Africa
Uganda,,1997,888,888,1179,"Uganda, Sudan",Africa
Uganda,,1998,835,835,1048,"DR Congo (Zaire), Uganda",Africa
Uganda,,1999,355,355,355,"DR Congo (Zaire), Uganda",Africa
Uganda,,2000,388,388,407,"DR Congo (Zaire), Uganda",Africa
Uganda,,2001,189,189,237,"DR Congo (Zaire), Uganda, Sudan",Africa
Uganda,,2002,1086,1086,1881,"DR Congo (Zaire), Uganda, Sudan",Africa
Uganda,,2003,642,641,1100,"Uganda, Sudan",Africa
Uganda,,2004,1610,1609,2215,"Uganda, Sudan",Africa
Uganda,,2005,695,695,814,"Uganda, Sudan",Africa
Uganda,,2006,221,221,318,"DR Congo (Zaire), Uganda, Sudan",Africa
Uganda,,2007,91,91,147,Uganda,Africa
Uganda,,2008,53,53,66,"DR Congo (Zaire), Sudan",Africa
Uganda,,2009,238,238,263,"Central African Republic, DR Congo (Zaire), Sudan",Africa
Uganda,,2010,120,120,138,"Central African Republic, DR Congo (Zaire), Sudan",Africa
Uganda,,2011,136,136,146,"South Sudan, Central African Republic, DR Congo (Zaire), Sudan",Africa
Uganda,,2013,100,100,118,"Central African Republic, DR Congo (Zaire)",Africa
Uganda,,2014,864,864,1033,"Central African Republic, DR Congo (Zaire)",Africa
Uganda,,2015,197,163,228,DR Congo (Zaire),Africa
Uganda,,2016,152,152,153,DR Congo (Zaire),Africa
Uganda,,2017,237,237,245,DR Congo (Zaire),Africa
Uganda,,2018,378,303,389,DR Congo (Zaire),Africa
Uganda,,2019,165,130,173,DR Congo (Zaire),Africa
United Kingdom,Northern Ireland,1998,29,29,29,United Kingdom,Europe
United Kingdom,Northern Ireland,1989,38,38,39,"United Kingdom, Germany",Europe
United Kingdom,Northern Ireland,1990,44,44,46,"Netherlands, United Kingdom, Germany",Europe
United Kingdom,Northern Ireland,1991,26,26,27,United Kingdom,Europe
El Salvador,,1989,4924,4924,4952,El Salvador,Americas
El Salvador,,1990,849,849,999,El Salvador,Americas
El Salvador,,1991,88,88,93,El Salvador,Americas
Bangladesh,Chittagong Hill Tracts,1989,26,26,26,Bangladesh,Asia
Bangladesh,Chittagong Hill Tracts,1990,45,45,45,Bangladesh,Asia
Bangladesh,Chittagong Hill Tracts,1991,25,22,45,Bangladesh,Asia
Afghanistan,Islamic State,2016,2141,2100,2544,Afghanistan,Asia
Afghanistan,Islamic State,2017,2795,2738,3009,Afghanistan,Asia
Afghanistan,Islamic State,2018,2842,2770,5149,Afghanistan,Asia
Afghanistan,Islamic State,2019,1075,1045,1435,Afghanistan,Asia
Afghanistan,Islamic State,2020,316,279,356,Afghanistan,Asia
Afghanistan,Islamic State,2021,264,206,322,"Afghanistan, Pakistan",Asia
Afghanistan,Islamic State,2022,252,181,403,Afghanistan,Asia
Afghanistan,Islamic State,2015,679,615,855,Afghanistan,Asia
Cameroon,Islamic State,2016,189,189,206,"Nigeria, Cameroon",Africa
Cameroon,Islamic State,2019,135,129,153,Cameroon,Africa
Cameroon,Islamic State,2021,62,56,134,Cameroon,Africa
Cameroon,Islamic State,2015,283,283,315,"Nigeria, Cameroon",Africa
Niger,Islamic State,2016,274,274,281,Niger,Africa
Niger,Islamic State,2017,229,229,236,Niger,Africa
Niger,Islamic State,2018,74,71,113,Niger,Africa
Niger,Islamic State,2019,283,280,322,Niger,Africa
Niger,Islamic State,2020,512,510,550,Niger,Africa
Niger,Islamic State,2021,380,297,464,Niger,Africa
Niger,Islamic State,2022,323,262,358,Niger,Africa
Niger,Islamic State,2015,171,131,338,Niger,Africa
Chad,Islamic State,2017,57,57,219,Chad,Africa
Chad,Islamic State,2018,108,108,109,Chad,Africa
Chad,Islamic State,2019,144,144,166,Chad,Africa
Chad,Islamic State,2020,143,143,696,Chad,Africa
Chad,Islamic State,2021,55,55,82,Chad,Africa
Chad,Islamic State,2022,45,45,61,Chad,Africa
Chad,Islamic State,2015,272,272,272,Chad,Africa
Nigeria,Islamic State,2016,2287,2287,2348,Nigeria,Africa
Nigeria,Islamic State,2017,817,817,1267,Nigeria,Africa
Nigeria,Islamic State,2018,836,693,1158,Nigeria,Africa
Nigeria,Islamic State,2019,1013,857,1597,Nigeria,Africa
Nigeria,Islamic State,2020,1559,1297,2469,Nigeria,Africa
Nigeria,Islamic State,2021,1597,1448,2494,Nigeria,Africa
Nigeria,Islamic State,2022,1034,914,1738,Nigeria,Africa
Nigeria,Islamic State,2015,2063,2060,3097,Nigeria,Africa
Pakistan,Balochistan,2016,94,94,94,Pakistan,Asia
Pakistan,Balochistan,2019,37,37,37,Pakistan,Asia
Pakistan,Balochistan,2020,120,77,121,Pakistan,Asia
Pakistan,Balochistan,2021,129,109,147,Pakistan,Asia
Pakistan,Balochistan,2022,154,115,290,Pakistan,Asia
Pakistan,Balochistan,2004,43,43,58,Pakistan,Asia
Pakistan,Balochistan,2006,200,200,209,Pakistan,Asia
Pakistan,Balochistan,2007,83,82,331,Pakistan,Asia
Pakistan,Balochistan,2008,197,186,233,Pakistan,Asia
Pakistan,Balochistan,2009,81,81,102,Pakistan,Asia
Pakistan,Balochistan,2011,42,42,123,Pakistan,Asia
Pakistan,Balochistan,2012,118,118,362,Pakistan,Asia
Pakistan,Balochistan,2013,45,45,45,Pakistan,Asia
Pakistan,Balochistan,2014,90,90,90,Pakistan,Asia
Pakistan,Balochistan,2015,107,107,107,Pakistan,Asia
Eritrea,,2003,57,57,57,Eritrea,Africa
Eritrea,,1997,31,31,117,Eritrea,Africa
Eritrea,,1999,25,25,239,Eritrea,Africa
Angola,,1989,2810,2810,6283,Angola,Africa
Angola,,1990,2558,2557,4452,Angola,Africa
Angola,,1991,491,491,647,Angola,Africa
Angola,,1992,2321,2321,3572,Angola,Africa
Angola,,1993,12054,12054,23329,Angola,Africa
Angola,,1994,3924,3920,11087,"DR Congo (Zaire), Angola",Africa
Angola,,1995,162,162,522,Angola,Africa
Angola,,1998,1041,1041,1516,Angola,Africa
Angola,,1999,2273,2273,6431,"Namibia, Angola",Africa
Angola,,2000,1000,404,3796,"Namibia, Angola",Africa
Angola,,2001,1123,1123,2447,Angola,Africa
Angola,,2002,465,461,465,Angola,Africa
Yemen (North Yemen),Islamic State,2017,26,5,26,Yemen (North Yemen),Middle East
Yemen (North Yemen),Islamic State,2020,33,11,62,Yemen (North Yemen),Middle East
Yemen (North Yemen),Islamic State,2015,246,246,251,Yemen (North Yemen),Middle East
Kenya,Northeastern Province and Coast,2016,49,49,83,"Somalia, Kenya",Africa
Kenya,Northeastern Province and Coast,2017,85,83,110,Kenya,Africa
Kenya,Northeastern Province and Coast,2018,69,59,147,Kenya,Africa
Kenya,Northeastern Province and Coast,2019,61,60,94,Kenya,Africa
Kenya,Northeastern Province and Coast,2020,94,94,142,Kenya,Africa
Kenya,Northeastern Province and Coast,2021,78,78,184,"Somalia, Kenya",Africa
Kenya,Northeastern Province and Coast,2022,72,71,148,Kenya,Africa
Kenya,Northeastern Province and Coast,2015,42,40,117,"Somalia, Kenya",Africa
Tanzania,Islamic State,2020,25,22,26,Tanzania,Africa
Egypt,Islamic State,2016,355,355,359,Egypt,Middle East
Egypt,Islamic State,2017,394,279,514,Egypt,Middle East
Egypt,Islamic State,2018,652,502,654,Egypt,Middle East
Egypt,Islamic State,2019,589,217,598,Egypt,Middle East
Egypt,Islamic State,2020,527,206,538,Egypt,Middle East
Egypt,Islamic State,2021,112,99,204,Egypt,Middle East
Egypt,Islamic State,2022,231,214,233,Egypt,Middle East
Egypt,Islamic State,2015,767,753,947,Egypt,Middle East
Ethiopia,Ogaden,1993,36,36,36,Ethiopia,Africa
Ethiopia,Ogaden,1994,50,50,50,Ethiopia,Africa
Ethiopia,Ogaden,1996,211,211,481,"Somalia, Ethiopia",Africa
Ethiopia,Ogaden,1998,25,6,90,Ethiopia,Africa
Ethiopia,Ogaden,1999,50,50,640,"Somalia, Ethiopia",Africa
Ethiopia,Ogaden,2000,25,0,855,Ethiopia,Africa
Ethiopia,Ogaden,2001,25,25,117,Ethiopia,Africa
Ethiopia,Ogaden,2002,25,25,637,Ethiopia,Africa
Ethiopia,Ogaden,2003,25,25,260,Ethiopia,Africa
Ethiopia,Ogaden,2004,25,25,525,"Somalia, Ethiopia",Africa
Ethiopia,Ogaden,2005,58,58,695,Ethiopia,Africa
Ethiopia,Ogaden,2006,25,0,818,Ethiopia,Africa
Ethiopia,Ogaden,2007,152,152,737,Ethiopia,Africa
Ethiopia,Ogaden,2008,25,25,416,Ethiopia,Africa
Ethiopia,Ogaden,2009,473,473,995,Ethiopia,Africa
Ethiopia,Ogaden,2010,126,123,1860,"Somalia, Ethiopia",Africa
Ethiopia,Ogaden,2011,25,25,379,"Kenya, Ethiopia",Africa
Ethiopia,Ogaden,2012,25,25,406,Ethiopia,Africa
Ethiopia,Ogaden,2013,52,52,908,Ethiopia,Africa
Ethiopia,Ogaden,2014,25,25,222,Ethiopia,Africa
Ethiopia,Ogaden,2015,25,0,138,Ethiopia,Africa
Ethiopia,Ogaden,2016,25,0,50,Ethiopia,Africa
Indonesia,East Timor,1992,39,39,39,Indonesia,Asia
Indonesia,East Timor,1997,51,51,79,Indonesia,Asia
Indonesia,East Timor,1998,30,14,48,Indonesia,Asia
