location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
Iran,Islamic State,2017,27,27,27,Iran,Middle East
Ukraine,Donetsk,2014,2269,2195,2644,Ukraine,Europe
Ukraine,Lugansk,2014,1071,1048,1380,"Russia (Soviet Union), Ukraine",Europe
Philippines,Islamic State,2016,155,90,177,Philippines,Asia
Philippines,Islamic State,2017,1363,1336,1435,Philippines,Asia
Philippines,Islamic State,2018,193,159,198,Philippines,Asia
Philippines,Islamic State,2019,136,125,140,Philippines,Asia
Philippines,Islamic State,2020,75,74,75,Philippines,Asia
Philippines,Islamic State,2021,71,71,71,Philippines,Asia
Philippines,Islamic State,2022,41,41,41,Philippines,Asia
Syria,,2016,152,145,154,Syria,Middle East
Syria,,2018,35,35,87,Syria,Middle East
Ukraine,Novorossiya,2016,254,243,293,Ukraine,Europe
Ukraine,Novorossiya,2017,415,399,465,Ukraine,Europe
Ukraine,Novorossiya,2018,243,168,257,Ukraine,Europe
Ukraine,Novorossiya,2019,311,259,311,Ukraine,Europe
Ukraine,Novorossiya,2020,196,113,257,Ukraine,Europe
Ukraine,Novorossiya,2021,208,174,220,Ukraine,Europe
Ukraine,Novorossiya,2022,29,26,33,Ukraine,Europe
Ukraine,Novorossiya,2014,1459,1435,1497,Ukraine,Europe
Ukraine,Novorossiya,2015,1786,1696,1843,Ukraine,Europe
Mozambique,Islamic State,2019,194,168,218,Mozambique,Africa
Mozambique,Islamic State,2020,937,645,1259,Mozambique,Africa
Mozambique,Islamic State,2021,715,536,1037,Mozambique,Africa
Mozambique,Islamic State,2022,373,210,588,Mozambique,Africa
